"Id","Regiao","Prima","CustoProduto","Pmaquinabase","Pmaquina1","Pmaquina2","Pmaquina3","Cmaquina1","Cmaquina2","Cmaquina3","Resposta"
3310,"553",1618,33277,1090.55,1681.24,1877.75,1998.16,1160.48110131807,1090.55,976.421931567035,0
2400,"553",2882,26463,852.69,1876.25,2190.61,2511.93,977.76308503111,852.69,730.326079265593,0
3310,"556",1105,15554,743.13,2586.17,2872.22,3054.28,790.234416722953,743.13,669.12023177194,0
2798,"554",4293,110412,1696.69,2786.78,3242.36,3378.51,1767.93574183619,1696.69,1458.29018313821,0
3310,"560",3572,63594,1525.7,2699.19,3435.56,3593.8,1595.97290106999,1525.7,1198.68498381632,0
2249,"554",2087,37854,893.7,1529.79,1652.46,1729.2,935.2032969028,893.7,827.356379579536,0
1159,"552",3572,60107,776.68,1434.11,1914.45,2009.88,815.395334639191,776.68,581.809164407532,0
2868,"552",1335,32144,1255.35,1554.43,1595.39,1693.15,1332.27352089458,1255.35,1223.12017782486,0
1375,"553",2035,38443,941.05,1424.66,1660.67,1846.49,1046.34841028019,941.05,807.310478903093,0
4101,"559",1242,47609,1223.35,1430.61,1679.63,1779.54,1296.11894226705,1223.35,1041.97754475688,3
3262,"554",2717,26171,1012.95,1975.69,2070.58,2224.98,1088.4841401926,1012.95,966.528791691217,0
3310,"554",5298,132389,1590.24,2872.14,3613.63,3865.44,1701.05331912786,1590.24,1263.9345792458,0
846,"554",3240,70637,808.06,1441.47,1433.74,1559.79,879.102143624367,808.06,812.416650299217,0
2797,"553",1833,45457,1679.93,1889.78,2202.48,2343.51,1787.49988844394,1679.93,1441.41972476481,0
209,"556",1645,63589,1489.92,2222.54,2543.14,2729.42,1599.05370777857,1489.92,1302.09378830894,0
2213,"555",1749,33274,593.92,1067.76,1015.55,1083.01,633.372359017281,593.92,624.453763182512,0
1953,"552",1618,33277,949.15,1826.24,1604.87,1803.44,1066.58799528934,949.15,1080.07233981569,0
2549,"552",1747,20093,929.14,1403.38,1359.51,1475.23,1008.22737765813,929.14,959.122399393899,0
3310,"556",1214,25168,692.19,1323.24,1296.61,1464.01,781.555812387688,692.19,706.406317705401,0
2489,"559",3376,40237,943.36,1296.63,1504.71,1598.77,1002.32979590752,943.36,812.906724086369,0
669,"557",3980,70962,1392.65,2509.75,3136.45,3402.74,1510.88838049387,1392.65,1114.38197245293,0
2787,"553",2238,47485,934.56,1638.01,1888.04,2102.33,1040.63130272664,934.56,810.7977720811,0
1891,"551",3494,23142,1559.64,2214.04,2566.81,2917.02,1772.43390543126,1559.64,1345.29059244743,0
3310,"555",2555,45470,924.52,1414.81,1421.41,1501.24,976.443394094596,924.52,920.227197782484,0
1822,"553",3870,22945,1523.91,2150.07,2652.37,2883.22,1656.54406821069,1523.91,1235.31527415104,0
3310,"556",1561,33267,697.64,1512.51,1433.92,1517.67,738.386589767909,697.64,735.876113311761,0
2658,"558",2263,23521,813.4,1598.77,1582.57,1722.68,885.41291190911,813.4,821.726380507655,0
332,"560",1418,22551,969.82,1366.8,1451.47,1549.68,1035.44038636692,969.82,913.246554183001,0
276,"552",3593,70112,959.31,1524.84,1714.42,1872.09,1047.53482688023,959.31,853.229815564447,0
666,"554",1600,23473,567.2,1007.64,989.47,1070.36,613.569074352936,567.2,577.615701335058,0
501,"559",1669,28188,1575.01,2019.07,2451.38,2620.67,1683.77871105255,1575.01,1297.25111598365,0
3515,"552",4907,186935,2148.48,3446.43,3921.97,4035.06,2210.43141808836,2148.48,1887.9761768703,0
2983,"553",2901,22402,1140.27,2111.51,2395.86,2672.81,1272.07977874333,1140.27,1004.93831346573,0
3066,"560",4969,84969,2334.21,3466.16,4281.36,4480.78,2442.93436753742,2334.21,1889.76057458378,0
3120,"558",2692,31836,1164.69,1604.03,1792.75,1874.45,1217.76777046437,1164.69,1042.0848978943,0
1278,"554",3000,43132,2467.49,3686.71,4692.62,4965.98,2611.2291193832,2467.49,1938.55885579911,0
3771,"555",1743,22588,555.44,1042.58,870.74,957.15,610.560438247927,555.44,665.055740175024,2
1608,"557",1399,50927,949.96,1919.61,1849.79,1941.95,997.288785213457,949.96,985.816074040837,0
437,"556",6335,143987,2423.7,3753.33,4629.24,4836.2,2532.05665292791,2423.7,1965.1057022319,0
914,"552",2536,32908,893.33,1216.15,1311.94,1394.64,949.642324496547,893.33,828.10439463695,0
3857,"554",2076,39234,680.11,1361.25,1152.58,1261.54,744.404700237728,680.11,803.241195838901,2
4109,"556",1702,36820,675.92,1209.94,1060.62,1135.56,723.678334559032,675.92,771.0797880485,3
2669,"552",2031,36896,918.31,1501.96,1736.25,1873.16,990.722280547156,918.31,794.393023815695,0
1444,"554",2414,36299,983.27,1395.48,1593.04,1792.67,1106.48736434741,983.27,861.330299050871,0
1093,"552",2182,60099,2809.09,3618.38,4308.63,4518.48,2945.9055391621,2809.09,2359.06890918923,0
131,"31",2925,154275,3526.16,4460.16,6157.35,6522.47,3735.2550716136,3526.16,2554.22183010548,1
638,"560",4628,120655,1712.87,2210.75,2153.16,2244.31,1785.38114664029,1712.87,1758.68368003307,0
79,"558",2901,25013,962.89,1592.58,1573.12,1764.38,1079.95820929109,962.89,974.801258772376,1
2095,"552",1618,32435,1348.08,4587.71,5605.02,5813.02,1398.10669749617,1348.08,1103.40375177965,0
3604,"552",2238,41633,660.25,1306.56,1336.91,1455.46,718.797424658354,660.25,645.261266652205,0
2082,"556",3708,25037,1986.96,2726.04,3520.3,3799.85,2144.74617390563,1986.96,1538.65648904923,0
2654,"555",1721,31830,530.61,1199.82,1336.97,1426.35,566.082689589146,530.61,476.17859054429,0
2120,"559",1749,37661,1298.3,2367.9,2713.29,2957.07,1414.94789757085,1298.3,1133.03206439415,0
1773,"554",1728,22881,528.17,740.55,750.75,819.68,576.66385028305,528.17,520.994063936064,0
105,"553",4248,105625,1122.79,2311.91,2978.29,3083.08,1162.29493877359,1122.79,871.570407482146,1
3980,"554",1520,31817,552.98,1159.3,1045.14,1101,582.535334979046,552.98,613.381665614176,2
382,"554",2463,44583,2431.04,2725.32,3664.76,3909.22,2593.20397210186,2431.04,1807.85697639136,0
3310,"554",2113,43841,1538.2,2171.5,2782.78,3021.7,1670.2646058977,1538.2,1200.31094804476,0
1221,"557",5073,26220,1255.72,1771.38,2562.24,2875.63,1409.30830195454,1255.72,868.12995410266,0
3399,"559",5073,28398,834.08,1202.57,1203.91,1312.79,909.51307257187,834.08,833.151635587378,0
3513,"553",1460,15354,623.79,1185.27,1221.25,1371.31,700.437637584442,623.79,605.412137809621,0
1234,"554",1460,22426,1426.38,2443.24,2917.27,3225.85,1577.25816362558,1426.38,1194.60614588297,0
3585,"559",1869,21092,696.02,1174.43,1290.95,1392.12,750.566143072931,696.02,633.197853208877,0
1644,"554",5302,55400,918.36,1849.57,2331.3,2654.46,1045.66116999099,918.36,728.593962681766,0
1686,"552",1168,15354,881.5,1394.14,1370.05,1619.36,1041.90784277946,881.5,896.999678843838,0
3301,"553",1623,16977,1826.77,2788.85,3517.46,3824.26,1986.1045868894,1826.77,1448.37112987781,0
2953,"557",8087,90073,2209.16,3807.41,6035.52,6352.24,2325.08789936907,2209.16,1393.61279154075,0
3216,"555",4526,27101,775.85,1343.35,1476.04,1610.41,846.478820695916,775.85,706.104236673803,0
2033,"559",1508,37621,849.26,1691.72,1819.3,1962.88,916.283993184192,849.26,789.704901445611,0
3847,"554",1570,22434,807.05,1543.24,1526.51,1648.06,871.312223961848,807.05,815.894977432182,2
4111,"560",895,54824,757.83,1992.76,1722.32,1760.05,774.431401539784,757.83,876.825044591017,3
394,"556",1852,31042,1534.28,2019.04,2329.48,2512.57,1654.86971324072,1534.28,1329.81295877191,0
1783,"556",7110,109810,3002.33,3872.07,6318.91,6551.71,3112.94123263348,3002.33,1839.75272999615,0
3310,"559",1749,71849,767.4,1974.39,1686.7,1769.9,805.253607636213,767.4,898.290677654592,0
3310,"558",2328,43320,1434.91,1936.5,2366.63,2597.64,1574.9735329984,1434.91,1174.11814056274,0
3944,"558",1829,28068,733.42,1057.78,1017.99,1122.16,808.470208155286,733.42,762.087061366025,2
3310,"555",4680,32001,733.19,2036.99,2084.29,2212.18,778.177822759789,733.19,716.551294733458,0
1719,"553",3494,34272,420.03,965.76,671.16,709.73,444.168144555695,420.03,604.398612551404,0
4116,"558",809,31963,720.57,1144.28,1039.55,1227.6,850.917927949594,720.57,793.164195661584,3
3584,"556",1688,43993,1843.77,3079.38,3297.9,3589.21,2006.6338341672,1843.77,1721.60115910125,0
3310,"559",1508,36460,1318.91,2182.83,3013.66,3253.38,1423.82200241567,1318.91,955.302295315331,0
3310,"552",2238,43874,1008.87,1767.58,2255.74,2560.07,1144.98028181439,1008.87,790.542542402937,0
1163,"560",2057,83571,2507.19,3459.16,3479.86,3581.51,2580.42738986626,2507.19,2492.27594225055,0
2568,"553",2352,37308,1581.71,2488.64,3127.06,3403.43,1721.50175094178,1581.71,1258.78837451152,0
3946,"555",950,31934,889.73,1278.84,1239.25,1375.98,987.896457857575,889.73,918.153974742788,2
335,"553",1935,23519,678.57,1472.99,1659.89,1805.09,737.928369530511,678.57,602.164495418371,0
1968,"556",2536,37344,1400.59,1953.17,2306.22,2465.45,1497.29193897373,1400.59,1186.17927617487,0
627,"553",1790,48078,920.82,1507.26,1557.53,1656.16,979.130579314684,920.82,891.100109275584,0
3595,"554",3226,27672,1124.56,2657.85,3279.05,3499.1,1200.02680532471,1124.56,911.517602964273,0
4130,"553",3669,63454,1069.54,2217.97,3138.93,3360.09,1144.89671913678,1069.54,755.737666593393,3
1245,"552",2652,39448,1028.4,1752.27,2060.03,2197.61,1097.08214152221,1028.4,874.761274350373,0
1600,"556",3457,24574,522.66,945.62,887.09,957.71,564.268235015613,522.66,557.14499002356,0
2717,"560",3145,55765,716.62,1549.98,1666.32,1848.4,794.925589322579,716.62,666.586650583321,0
3006,"555",5439,91145,979.9,1424.66,1824.93,1909.19,1025.14358413747,979.9,764.97418202342,0
2956,"556",1765,20081,1377.77,2052.38,2590.84,2891.45,1537.62990632382,1377.77,1091.42501760047,0
3821,"555",1855,22852,600.13,1165.43,930.09,1044.17,673.73882323216,600.13,751.980459847972,2
3059,"552",1691,14022,592.3,870.33,1080.22,1211.33,664.189478995019,592.3,477.214325785488,0
849,"559",1508,36460,2156.46,2948.02,3634.67,3885.65,2305.36714447254,2156.46,1749.06861123568,0
662,"556",2536,30412,1903.57,3044.24,3504.66,3923.2,2130.90166349946,1903.57,1653.49104814732,0
3310,"553",2029,20700,524.63,920.55,978.37,1040.53,557.961971340086,524.63,493.625260893118,0
3731,"559",1623,10993,668.44,1358.49,1280.67,1452.85,758.308583788173,668.44,709.057802244138,0
1194,"560",1582,19189,630.15,1081.29,1106.31,1217.26,693.346701195867,630.15,615.898702443257,0
3310,"556",1704,37899,1569.65,2508.29,3259.61,3521.54,1695.78117044677,1569.65,1207.85535646903,0
1130,"553",2031,43190,1098.11,1861.3,2065.06,2153.68,1145.23430060144,1098.11,989.75920457517,0
3215,"560",1514,35224,612.18,1558.05,1528.55,1685.39,674.993981354879,612.18,623.994667495339,0
3126,"553",3536,44831,1618.71,2879.79,3768.61,4067.66,1747.15927586033,1618.71,1236.94011078355,0
2375,"559",2551,28785,981.55,3485.03,3693.82,3971.66,1055.37976214326,981.55,926.06873006806,0
2573,"557",1904,27746,674.34,1139,1174.61,1284.76,737.576777313321,674.34,653.89640816952,0
449,"552",4870,121274,1449.73,3390.05,3751.05,3880.66,1499.82250884419,1449.73,1310.20839138375,0
3549,"553",4788,24434,1907.45,2401.31,3226.54,3521.84,2082.02399722303,1907.45,1419.59459963304,0
3902,"557",1399,50927,624.16,1254.39,1154.9,1189.79,643.016128149623,624.16,677.928879037146,2
2502,"560",4215,83068,1917.64,3993.25,5063.86,5540.46,2098.12429932897,1917.64,1512.20924946582,0
3627,"553",1623,16076,822.89,1503.88,1619.26,1733.57,880.98107610884,822.89,764.255161740548,0
2280,"556",4059,18608,974.02,1739.7,2944.01,3440.58,1138.30922163987,974.02,575.57637168352,0
149,"553",1789,12543,927.29,1420.82,1513.74,1765.33,1081.40952587631,927.29,870.368872990078,1
667,"555",3852,54817,1115.94,2550.94,2746.6,2917.02,1185.18142386951,1115.94,1036.44359702905,0
1706,"553",1523,32172,891.13,1629.8,1958.7,2105.93,958.113749374585,891.13,741.493681523459,0
3310,"554",3566,83182,2311.74,2553.42,4559.4,4720.67,2393.50828306356,2311.74,1294.65349624951,0
3310,"554",2321,70037,1532.72,1711.83,2041.38,2117.42,1589.81276509028,1532.72,1285.28548217382,0
3310,"554",2501,20308,1361.76,2172.96,3502.86,3683.32,1431.91501892739,1361.76,844.752576351895,0
1175,"559",1606,30953,1022.68,2890.98,3253.69,3376.1,1061.15516475141,1022.68,908.675204583104,0
1752,"553",1846,31534,1401.35,2851.34,2929.13,3102.4,1484.24557462455,1401.35,1364.13382437789,0
1031,"560",950,41481,1061.29,1535.07,1658.19,1705.84,1091.78739082976,1061.29,982.489606317732,0
3310,"554",2035,27210,673.07,1295.73,1493.99,1708.92,769.899921953962,673.07,583.750219947925,0
3310,"560",2296,30076,1097.21,1406.48,1506.59,1609.69,1172.29502711421,1097.21,1024.30251149948,0
1169,"554",1728,31989,957.22,1554.17,1713.58,1795.49,1002.97560534087,957.22,868.172251893696,0
3046,"555",2417,27806,744.1,1196.44,1107.68,1257.29,844.602673154702,744.1,803.725808897877,0
3310,"553",2029,26982,942.47,2034.97,1809.24,2284.25,1189.91239277266,942.47,1060.05735883575,0
1370,"556",3498,42027,1362.6,2004.46,2138.74,2278.78,1451.82005666888,1362.6,1277.04966288562,0
70,"553",4088,69061,966.77,1997.61,2173.97,2290.25,1018.48001237368,966.77,888.342258494827,1
3219,"553",7967,71221,1703.18,3241.63,4201.63,4369.35,1771.16726913127,1703.18,1314.03274048405,0
3973,"552",3870,82477,1574.46,2411.58,3246.29,3505.85,1700.34734758755,1574.46,1169.62324585912,2
1389,"556",3498,42027,1286.47,1914.36,2032.49,2184.16,1382.46993352981,1286.47,1211.69929947995,0
876,"553",2462,46701,604.31,1339.25,1077.48,1154.62,647.574351449679,604.31,751.125002320229,0
3310,"553",1623,14224,558.06,1004.9,1052.56,1192.07,632.027232841833,558.06,532.790999087938,0
2609,"552",3536,131047,1171.23,2239.02,2368.08,2473.32,1223.28070994223,1171.23,1107.3981430526,0
4086,"552",1275,33192,666.43,1266.7,1100.39,1138.54,689.5348123847,666.43,767.15244685975,3
3310,"554",1600,23074,762.33,3674.74,4197.8,4448.7,807.894009004717,762.33,667.341117775978,0
1168,"556",3502,112589,2542.36,3597.46,4887.45,5031.19,2617.13085727731,2542.36,1871.33134980409,0
3765,"554",1014,24551,617.61,1159.1,1113.62,1222.02,677.728284513568,617.61,642.83305885311,2
3542,"558",3981,102194,2039,3434.03,4152.97,4434.75,2177.34663385481,2039,1686.01920312451,0
